Tx,Ty,Tz,Roll,Pitch,Yaw,L0,L1,L2,L3
1768573826.9446757,0.0,0.0,-5.0,0,0,0,4.180755193401489,4.186191439269434,4.211452202824895,4.210979504700692
1768573827.860566,0.0,0.0,-4.8,0,0,0,4.180621145762203,4.186057130093578,4.211249650164632,4.21088691457688
1768573828.7620032,0.0,0.0,-4.6,0,0,0,4.180352779082964,4.185788531132347,4.211114427205346,4.210684402696641
1768573829.660096,0.0,0.0,-4.4,0,0,0,4.180196364921909,4.185631520503099,4.21088691457688,4.21048190542499
1768573830.5483105,0.0,0.0,-4.2,0,0,0,4.179995190841398,4.1853402440327425,4.210684402696641,4.210347013317585
1768573831.4394107,0.0,0.0,-4.0,0,0,0,4.179727175107359,4.185004731225552,4.210414311619692,4.210119562876709
1768573832.3403656,0.0,0.0,-3.8,0,0,0,4.179369667132512,4.184713520178642,4.210119562876709,4.20991710634902
1768573833.231394,0.0,0.0,-3.5999999999999996,0,0,0,4.1790793346541335,4.184378082727975,4.209849526143881,4.209622116013985
1768573833.92979,0.0,0.0,-3.4,0,0,0,4.1790793346541335,4.18408693708492,4.209622116013985,4.209284854301036
1768573834.5955894,0.0,0.0,-3.2,0,0,0,4.178543505109127,4.183684332730198,4.209217289319219,4.209082164235804
1768573835.2504938,0.0,0.0,-3.0,0,0,0,4.178186148985981,4.183259375997959,4.208922666260862,4.208720002355462
1768573835.8623872,0.0,0.0,-2.8,0,0,0,4.177762029672257,4.18276726387999,4.208517646771419,4.208450100260836
1768573836.5216532,0.0,0.0,-2.5999999999999996,0,0,0,4.177360047421856,4.1822976411702815,4.208088019952657,4.208088019952657
1768573837.1754942,0.0,0.0,-2.4,0,0,0,4.176868975887974,4.18167160057743,4.207591226678463,4.207683120929834
1768573837.8466923,0.0,0.0,-2.1999999999999997,0,0,0,4.176378281267466,4.1811128791740835,4.207094227838743,4.207229257203959
1768573838.5482965,0.0,0.0,-2.0,0,0,0,4.175820330101118,4.18041994101709,4.206530110243489,4.206756976364051
1768573839.2009387,0.0,0.0,-1.7999999999999998,0,0,0,4.175195743256212,4.179704793180885,4.206057947119083,4.206260418772321
1768573839.787574,0.0,0.0,-1.5999999999999996,0,0,0,4.17450427549315,4.179034871991117,4.205359092094288,4.2058311375423125
1768573840.4462574,0.0,0.0,-1.4,0,0,0,4.173813269549028,4.178052224883707,4.204592957562215,4.205132339042521
1768573841.1106446,0.0,0.0,-1.1999999999999997,0,0,0,4.172988464475317,4.177069924321082,4.203802697446352,4.204501164523751
1768573841.7748725,0.0,0.0,-1.0,0,0,0,4.172141872548479,4.175976498711134,4.202969866668626,4.203735264415589
1768573842.4454954,0.0,0.0,-0.7999999999999998,0,0,0,4.171250620140052,4.174861159349793,4.201843110334208,4.202902453675899
1768573843.102766,0.0,0.0,-0.5999999999999996,0,0,0,4.1702927336443185,4.173612556071612,4.200784460328859,4.202045277718672
1768573843.805131,0.0,0.0,-0.39999999999999947,0,0,0,4.1690458895541385,4.172096650914402,4.199615547660649,4.200986551313422
1768573844.4685159,0.0,0.0,-0.1999999999999993,0,0,0,4.167733035951609,4.170493207685788,4.1983991318248055,4.199952233488875
1768573845.133535,0.0,0.0,0.0,0,0,0,4.166132396655145,4.168602026425901,4.197072682207139,4.198918297603787
1768573845.7201245,0.0,0.0,0.20000000000000018,0,0,0,4.164553783074558,4.166621286603324,4.195410388513868,4.197567613693281
1768573846.3726208,0.0,0.0,0.40000000000000036,0,0,0,4.162754466198377,4.164286672935501,4.193658228277125,4.196174014517605
1768573847.0307288,0.0,0.0,0.6000000000000005,0,0,0,4.1608021431772935,4.161711419773112,4.191638295180179,4.194354168501356
1768573847.7328725,0.0,0.0,0.8000000000000007,0,0,0,4.158472129472248,4.158826382350501,4.189328128245933,4.1927372941502155
1768573848.3875709,0.0,0.0,1.0,0,0,0,4.1559901677772695,4.155636277216788,4.186751178986577,4.190650907866386
1768573849.0521247,0.0,0.0,1.2000000000000002,0,0,0,4.153156853555101,4.151851497515404,4.183885773198239,4.188408620018017
1768573849.6372805,0.0,0.0,1.4000000000000004,0,0,0,4.149861115469628,4.147586257046466,4.180621145762203,4.185832810309387
1768573850.2257142,0.0,0.0,1.6000000000000005,0,0,0,4.146216898054516,4.142843076570673,4.176802189879609,4.1828341930100255
1768573850.890107,0.0,0.0,1.8000000000000007,0,0,0,4.142093101150794,4.137312104157811,4.172631820714803,4.179503945236849
1768573851.5445678,0.0,0.0,2.0,0,0,0,4.137312104157811,4.130940977501213,4.1677116185655025,4.175887382836299
1768573852.2038066,0.0,0.0,2.2,0,0,0,4.131905621751575,4.123527053694228,4.162199531711576,4.171539847340128
1768573852.857759,0.0,0.0,2.4000000000000004,0,0,0,4.1254147182158,4.115072853954451,4.155769701329533,4.166533048621725
1768573853.5701423,0.0,0.0,2.6000000000000005,0,0,0,4.118261841777411,4.105115261756067,4.148224488786967,4.159447299508698
1768573854.2248302,0.0,0.0,2.8000000000000007,0,0,0,4.109990756927368,4.093555281925021,4.139559318684674,4.154263217975735
1768573854.8909903,0.0,0.0,3.0,0,0,0,4.099969415984829,4.079871825546732,4.129579567455534,4.146682179969153
1768573855.5119102,0.0,0.0,3.200000000000001,0,0,0,4.088447178740965,4.063761405066675,4.117584184408587,4.137577481984584
1768573856.1770482,0.0,0.0,3.4000000000000004,0,0,0,4.074839389411777,4.044962251205483,4.103749913111875,4.1269246425143
1768573856.8334,0.0,0.0,3.5999999999999996,0,0,0,4.058967913754744,4.022490540138623,4.087237137936601,4.114593576082705
1768573857.4933984,0.0,0.0,3.8000000000000007,0,0,0,4.0400075060070755,3.995596597946803,4.067623076562655,4.099969415984829
1768573858.195541,0.0,0.0,4.0,0,0,0,4.017116036568329,3.9631801729691474,4.044431532792952,4.082402342708636
1768573858.8464594,0.0,0.0,4.200000000000001,0,0,0,3.990203764534547,3.9240651445687407,4.016066191723243,4.0612334422000576
1768573859.4983635,0.0,0.0,4.4,0,0,0,3.9577912101626382,3.879619010335436,3.9822460620235622,4.036043586823031
1768573860.0890052,0.0,0.0,4.600000000000001,0,0,0,3.9184438489438995,3.8239729246056973,3.941444680633142,4.0059405111240745
1768573860.7519484,0.0,0.0,4.800000000000001,0,0,0,3.870436129297361,3.7574594133459613,3.8915179515066933,3.9688929338847436
