Tx,Ty,Tz,Roll,Pitch,Yaw,L0,L1,L2,L3
1753458598.232346,-1.3572203421089912,4.235412750760933,0.4551302716671781,0.0,0.0,0.0,2.690013570098739,2.617731127954583,2.6642521305025757,2.6770883065079136
1753458599.786019,0.5510328087123249,4.701256899855748,0.4094058222623733,0.0,0.0,0.0,2.7005823685142465,2.5861793019791883,2.7022132135294203,2.7153151481098328
1753458600.332255,1.2415690165274471,3.291770062581298,2.205066738224068,0.0,0.0,0.0,2.7005823685142465,2.586446565783637,2.7022132135294203,2.7153151481098328
1753458601.6331766,2.8644688465332706,2.781510675123502,2.4256337008213498,0.0,0.0,0.0,1.9400887403115152,2.078426374132959,2.6969167789958517,2.6908255281110494
1753458602.1822786,3.6534567956065604,2.928606735445517,1.783211772838663,0.0,0.0,0.0,1.9412611837001148,2.0803119776067684,2.6977306589644776,2.6908255281110494
1753458603.2317865,3.3207268253731304,1.7536381254630315,2.029769581308564,0.0,0.0,0.0,2.3429454039421227,2.6286499585550156,2.7022132135294203,2.6827119942388724
1753458603.7817986,4.045766258273648,1.8519159992912746,0.582935573415289,0.0,0.0,0.0,2.343652749218641,2.6289695071421635,2.703028736561287,2.6827119942388724
1753458604.8324285,2.0304943883553115,1.81466160416368,-0.45951650812162237,0.0,0.0,0.0,2.6428295672156383,2.6642521305025757,2.7034420798506384,2.6863753114929168
1753458606.8480127,2.122164195820183,1.4403801505176919,-1.8266828725344904,0.0,0.0,0.0,2.730603750580627,2.666665582511505,2.7022132135294203,2.7091614947679097
1753458607.3996592,1.5895724626602519,3.773925995513993,-1.8509487388961376,0.0,0.0,0.0,2.730603750580627,2.666665582511505,2.7022132135294203,2.7091614947679097
1753458608.4649997,3.7219666846827835,4.712178162511494,-0.03485650843596977,0.0,0.0,0.0,2.7339025857348846,2.6674702519200846,2.70425876438063,2.714924186469843
1753458609.0153973,4.665136971591178,3.729528653527357,-2.038056415845336,0.0,0.0,0.0,2.7339025857348846,2.6674702519200846,2.7038444775965362,2.7144958844213267
1753458610.082496,4.436466794675773,-0.7568088283811907,-0.8650117880834589,0.0,0.0,0.0,2.7368344971764067,2.6726749352329033,2.7046602853468364,2.7153151481098328
1753458610.636487,2.9164348598696987,-1.1924992687073646,-1.3212370773686721,0.0,0.0,0.0,2.7368344971764067,2.673481434190201,2.70425876438063,2.7153151481098328
1753458612.199183,0.920764248811702,-1.8760989692216912,-1.739560405297681,0.0,0.0,0.0,2.727685674107795,2.6694499155584746,2.6993586193869126,2.69813705869903
1753458612.751006,1.669356013452493,-4.287905184928533,-1.8552003774084291,0.0,0.0,0.0,2.7273068991150207,2.669080090446576,2.6989520944670997,2.69813705869903
1753458613.959155,-0.5680957344714708,-3.937149550549318,-2.286794363024827,0.0,0.0,0.0,2.742258283546699,2.6726749352329033,2.696102966104905,2.6989520944670997
1753458614.5161858,-3.1015754845682544,-3.707168315403732,-1.928981325116701,0.0,0.0,0.0,2.742258283546699,2.6726749352329033,2.6965074918525493,2.698544605823864
1753458616.0645099,-3.293496741742584,-4.216893877271901,-2.366270911789165,0.0,0.0,0.0,2.7455717677590865,2.6694499155584746,2.690013570098739,2.7116145196682564
1753458616.614613,-2.320436209980017,-1.870492186243605,-1.4058187845281949,0.0,0.0,0.0,2.7447432592872723,2.669080090446576,2.6892018295336073,2.7120387975619624
1753458617.682809,-1.90741525489699,-1.0259928087292094,-2.333430908906905,0.0,0.0,0.0,2.7409676642529894,2.6587142289072063,2.6831347391484908,2.7067096763146377
1753458618.23263,-4.857489762450804,-2.0058472408471584,-1.1126811389363223,0.0,0.0,0.0,2.7409676642529894,2.658268345584919,2.6823249145157493,2.7067096763146377
1753458619.283007,-3.6655178256677057,-2.7848952794198842,0.36643283903788193,0.0,0.0,0.0,2.7447432592872723,2.6598735489941268,2.681090854183432,2.7153151481098328
1753458619.8342848,-2.7847809394943592,-3.023219747418653,1.182867089252377,0.0,0.0,0.0,2.7447432592872723,2.6590709868439397,2.6815153070921904,2.7153151481098328
1753458621.3510773,-1.88316486805429,1.2686796813710233,0.7572327197376745,0.0,0.0,0.0,2.7393141074179033,2.5467646260001175,2.478725643184555,2.647502818519893
1753458621.8987873,-3.7236114950409736,2.216710048665825,0.0654562800881675,0.0,0.0,0.0,2.7393141074179033,2.5469848748953106,2.4794753106137293,2.6471602530481917
1753458623.449547,-4.55122473545884,3.5677227172286248,0.02119433556557082,0.0,0.0,0.0,2.7376608137873024,2.602165243734045,2.687996300535636,2.7153151481098328
1753458623.9684992,1.1827923791096575,0.7636713969134998,0.2970343445655219,0.0,0.0,0.0,2.7376608137873024,2.6018786937480187,2.6875785510485297,2.7153151481098328
1753458625.5161262,4.746723195515623,-2.5510385805514013,2.0365695736297793,0.0,0.0,0.0,2.661479320621566,2.613782027547264,2.6811301290210534,2.6674702519200846
1753458627.7778563,2.269827935693356,-4.936215973221213,0.8048522908556022,0.0,0.0,0.0,2.7330776625546416,2.673049521612316,2.651050767962159,2.5799418725928547
