Tx,Ty,Tz,Roll,Pitch,Yaw,L0,L1,L2,L3
1768585015.6916442,-6.0,-6.0,-5.5,0,0,0,4.181023308022283,4.188408620018017,4.210684402696641,4.20991710634902
1768585015.7053912,-6.0,-6.0,-5.5,0,0,0,4.18104570054039,4.188408620018017,4.210684402696641,4.209849526143881
1768585015.7171087,-6.0,-6.0,-5.5,0,0,0,4.181023308022283,4.188408620018017,4.210684402696641,4.209849526143881
1768585015.7291365,-6.0,-6.0,-5.5,0,0,0,4.181023308022283,4.188431946645269,4.2106170979188455,4.209849526143881
1768585015.7403152,-6.0,-6.0,-5.5,0,0,0,4.180956131547299,4.188408620018017,4.2106170979188455,4.209849526143881
1768585015.7521014,-6.0,-6.0,-5.5,0,0,0,4.181023308022283,4.188499011784121,4.210684402696641,4.20991710634902
1768585016.6336043,-6.0,-4.5,-5.5,0,0,0,4.180844465145436,4.188408620018017,4.210549500858024,4.2093521271382786
1768585016.6449175,-6.0,-4.5,-5.5,0,0,0,4.180844465145436,4.188408620018017,4.210549500858024,4.209284854301036
1768585016.6597195,-6.0,-4.5,-5.5,0,0,0,4.180822074243948,4.188431946645269,4.2106170979188455,4.2093521271382786
1768585016.6711984,-6.0,-4.5,-5.5,0,0,0,4.180889247488044,4.188431946645269,4.2106170979188455,4.2093521271382786
1768585016.6828887,-6.0,-4.5,-5.5,0,0,0,4.180822074243948,4.188408620018017,4.2106170979188455,4.209284854301036
1768585016.6944818,-6.0,-4.5,-5.5,0,0,0,4.180844465145436,4.188431946645269,4.210549500858024,4.2093521271382786
1768585017.5191002,-6.0,-3.0,-5.5,0,0,0,4.181179768599777,4.188499011784121,4.210414311619692,4.208585194908217
1768585017.5311794,-6.0,-3.0,-5.5,0,0,0,4.181179768599777,4.188475976185249,4.21048190542499,4.208585194908217
1768585017.5431535,-6.0,-3.0,-5.5,0,0,0,4.181179768599777,4.188408620018017,4.21048190542499,4.208585194908217
1768585017.5549614,-6.0,-3.0,-5.5,0,0,0,4.181179768599777,4.188499011784121,4.2104572188030716,4.208585194908217
1768585017.5668736,-6.0,-3.0,-5.5,0,0,0,4.181179768599777,4.188499011784121,4.21048190542499,4.208585194908217
1768585017.5788393,-6.0,-3.0,-5.5,0,0,0,4.181179768599777,4.188431946645269,4.21048190542499,4.208652744671285
1768585018.3764288,-6.0,-1.5,-5.5,0,0,0,4.181872895694465,4.188566078533755,4.210389625592238,4.207725986370653
1768585018.3893375,-6.0,-1.5,-5.5,0,0,0,4.181872895694465,4.188566078533755,4.210414311619692,4.207658752512365
