Tx,Ty,Tz,Roll,Pitch,Yaw,L0,L1,L2,L3
1768575081.0523567,-9.184850993605148e-17,-0.5,-4.5,0,0,0,4.180151884431044,4.185497238272659,4.211316970109643,4.210911898912624
1768575081.6654193,-0.5,6.123233995736766e-17,-4.5,0,0,0,4.180129499093088,4.186191439269434,4.211316970109643,4.2103220340090655
1768575082.2787957,3.061616997868383e-17,0.5,-4.5,0,0,0,4.180822074243948,4.186191439269434,4.210752003006116,4.210279422760523
1768575082.9379945,0.5,0.0,-4.5,0,0,0,4.180822074243948,4.185497238272659,4.210684402696641,4.21088691457688
1768575083.6960773,0.5,0.0,-4.0,0,0,0,4.1803303921312605,4.184803501147032,4.210051977796594,4.210549500858024
1768575084.3525178,3.061616997868383e-17,0.5,-4.0,0,0,0,4.180263523086608,4.185564524222451,4.210119562876709,4.209757267099726
1768575084.9754426,-0.5,6.123233995736766e-17,-4.0,0,0,0,4.179436805375783,4.185564524222451,4.210752003006116,4.209689690743293
1768575085.588437,-9.184850993605148e-17,-0.5,-4.0,0,0,0,4.179570796056526,4.184713520178642,4.210819604943535,4.21048190542499
1768575086.277539,1.0,0.0,-4.0,0,0,0,4.180688023388072,4.184378082727975,4.209689690743293,4.210844294752623
1768575087.0958896,6.123233995736766e-17,1.0,-4.0,0,0,0,4.180553978979257,4.185967108689387,4.209689690743293,4.2093521271382786
1768575087.8492236,-1.0,1.2246467991473532e-16,-4.0,0,0,0,4.1790793346541335,4.18589981303165,4.211114427205346,4.2093521271382786
1768575088.5783224,-1.8369701987210297e-16,-1.0,-4.0,0,0,0,4.1790793346541335,4.184310825385388,4.211114427205346,4.210752003006116
1768575089.5398428,1.4142135623730947,-1.4142135623730954,-3.5,0,0,0,4.179727175107359,4.181447924064696,4.210119562876709,4.211587148048701
1768575090.362365,-3.6739403974420594e-16,-2.0,-3.5,0,0,0,4.1774939382444565,4.182431769451142,4.211452202824895,4.211114427205346
1768575091.148816,-1.4142135623730954,-1.414213562373095,-3.5,0,0,0,4.175954146904479,4.18457928212196,4.211882344961637,4.209714664424599
1768575091.901022,-2.0,2.4492935982947064e-16,-3.5,0,0,0,4.1769360538825975,4.186191439269434,4.211452202824895,4.207683120929834
1768575092.6676295,-1.414213562373095,1.4142135623730951,-3.5,0,0,0,4.1790793346541335,4.186751178986577,4.209984688181458,4.206530110243489
1768575093.4869509,1.2246467991473532e-16,2.0,-3.5,0,0,0,4.180889247488044,4.186325463545202,4.208020483785004,4.207793515448643
1768575094.2577055,1.4142135623730951,1.4142135623730951,-3.5,0,0,0,4.181515112392707,4.184870479156452,4.207026715593835,4.209849526143881
1768575095.0858622,2.0,0.0,-3.5,0,0,0,4.181179768599777,4.182655524912244,4.2081555577461955,4.211182037870851
1768575095.8206804,1.060660171779821,-1.0606601717798214,-3.5,0,0,0,4.179570796056526,4.182163519341446,4.209984688181458,4.211182037870851
1768575096.5087812,-2.755455298081545e-16,-1.5,-3.5,0,0,0,4.177918307220368,4.182856891079765,4.211047112116878,4.210776986141167
1768575097.235331,-1.0606601717798214,-1.0606601717798212,-3.5,0,0,0,4.1769360538825975,4.184512311103216,4.211452202824895,4.209622116013985
1768575098.0207772,-1.5,1.8369701987210297e-16,-3.5,0,0,0,4.1775610312944815,4.185765809195856,4.211022126577749,4.208088019952657
1768575098.6850278,-1.0606601717798212,1.0606601717798214,-3.5,0,0,0,4.179012495625203,4.1862584506027885,4.20991710634902,4.207388658929555
1768575099.416018,9.184850993605148e-17,1.5,-3.5,0,0,0,4.180553978979257,4.185832810309387,4.208450100260836,4.2081555577461955
1768575100.1141343,1.0606601717798214,1.0606601717798214,-3.5,0,0,0,4.18104570054039,4.1846465459373166,4.207750648975915,4.209714664424599
1768575100.8031237,1.5,0.0,-3.5,0,0,0,4.180643535049562,4.182991046264859,4.208492977422528,4.210819604943535
1768575101.5913045,-1.8369701987210297e-16,-1.0,-3.5,0,0,0,4.1783200795276025,4.18332631693994,4.2106170979188455,4.210414311619692
1768575102.3630638,-1.0,1.2246467991473532e-16,-3.5,0,0,0,4.178119040876048,4.185272963491054,4.2106170979188455,4.208585194908217
1768575103.129998,6.123233995736766e-17,1.0,-3.5,0,0,0,4.180062344158102,4.1852959726712555,4.208855109999269,4.208585194908217
1768575103.9019246,1.0,0.0,-3.5,0,0,0,4.1802187507969855,4.183393550546794,4.208922666260862,4.2103220340090655
1768575104.5974808,-9.184850993605148e-17,-0.5,-3.5,0,0,0,4.178744283824734,4.183885773198239,4.210187149584277,4.20991710634902
1768575105.2680144,-0.5,6.123233995736766e-17,-3.5,0,0,0,4.178677452833674,4.184803501147032,4.210187149584277,4.209014897870154
1768575105.936942,3.061616997868383e-17,0.5,-3.5,0,0,0,4.179570796056526,4.184870479156452,4.209284854301036,4.209014897870154
1768575106.6074803,0.5,0.0,-3.5,0,0,0,4.179704793180885,4.183885773198239,4.2093521271382786,4.209984688181458
1768575107.4258518,0.5,0.0,-3.0,0,0,0,4.179012495625203,4.18276726387999,4.208357887215328,4.209284854301036
1768575108.090042,3.061616997868383e-17,0.5,-3.0,0,0,0,4.1790793346541335,4.183952729176349,4.208357887215328,4.20822309716567
1768575108.7470071,-0.5,6.123233995736766e-17,-3.0,0,0,0,4.177694931780038,4.183952729176349,4.2094196953666945,4.2081555577461955
1768575109.366169,-9.184850993605148e-17,-0.5,-3.0,0,0,0,4.1778288387034275,4.182700045370602,4.2094196953666945,4.209284854301036
1768575110.0545814,1.0,0.0,-3.0,0,0,0,4.179593176906693,4.180911638929168,4.207885709945001,4.209849526143881
1768575110.8326387,6.123233995736766e-17,1.0,-3.0,0,0,0,4.179369667132512,4.184601994397739,4.20781817864762,4.20761588809894
1768575111.6171803,-1.0,1.2246467991473532e-16,-3.0,0,0,0,4.1769360538825975,4.18457928212196,4.209984688181458,4.207591226678463
1768575112.441233,-1.8369701987210297e-16,-1.0,-3.0,0,0,0,4.177292959213556,4.182096606307775,4.209984688181458,4.209849526143881
1768575113.2270224,1.5,0.0,-3.0,0,0,0,4.180263523086608,4.18173879429665,4.207321433156137,4.210347013317585
1768575114.0550394,1.0606601717798214,1.0606601717798214,-3.0,0,0,0,4.180553978979257,4.183684332730198,4.206395114534874,4.208989930415519
1768575114.748985,9.184850993605148e-17,1.5,-3.0,0,0,0,4.179928329839427,4.185205975818919,4.207321433156137,4.207094227838743
