timestamp,L0,L1,L2,L3,dX,dY,dZ
145622495,1.922939,2.166958,2.201926,1.998713,1.223723,-1.925651,0.034225
145662495,1.922358,2.166958,2.201926,1.998108,1.222307,-1.922918,0.035118
145675064,1.922363,2.166304,2.201261,1.998713,1.223282,-1.929193,0.035155
145689768,1.922363,2.166304,2.201261,1.998108,1.222887,-1.920870,0.035204
145703149,1.922358,2.166304,2.201926,1.998108,1.220405,-1.920425,0.035932
145717268,1.922363,2.166958,2.201261,1.998713,1.225188,-1.931681,0.034341
145815519,1.921784,2.165649,2.200595,1.998493,1.222721,-1.929751,0.036102
145830999,1.921204,2.165649,2.201261,1.998493,1.219219,-1.934864,0.037667
145849709,1.921195,2.165649,2.200595,1.998493,1.221717,-1.935417,0.036957
145864147,1.920614,2.164995,2.199930,1.998108,1.221077,-1.933701,0.037908
145879956,1.920046,2.164341,2.199930,1.997289,1.217623,-1.925358,0.039588
145921146,1.940675,2.108794,2.131539,2.013186,1.278072,-1.792671,-0.025481
145936786,1.950287,2.079683,2.100775,2.019888,1.254203,-1.692502,-0.065646
145951765,1.955675,2.057837,2.084715,2.026907,1.235189,-1.635031,-0.084251
145967391,1.959813,2.040434,2.068219,2.026907,1.184218,-1.569209,-0.106729
145981827,1.963598,2.026295,2.053157,2.026907,1.131294,-1.539492,-0.131933
146067490,2.001130,2.005364,1.997289,2.026907,0.804870,-1.516250,-0.247841
146080186,2.005970,2.005364,1.992207,2.026907,0.767427,-1.518549,-0.255494
146095826,2.011103,2.006575,1.988603,2.026907,0.736031,-1.512254,-0.259906
146109684,2.010496,2.006575,1.988603,2.026907,0.740726,-1.518003,-0.260523
146124086,2.010815,2.006575,1.988603,2.026295,0.731453,-1.513048,-0.259433
146160143,2.011103,2.006575,1.988003,2.026907,0.735895,-1.518125,-0.261187
146176044,2.010496,2.006575,1.988003,2.026907,0.740593,-1.523876,-0.261808
146280889,2.049441,2.079055,1.964190,2.011103,0.764361,-1.959995,-0.303855
146296022,2.070717,2.097605,1.956857,2.008070,0.679634,-2.097836,-0.294091
146308930,2.103948,2.129607,1.944194,2.001735,0.543337,-2.395284,-0.277200
146322844,2.130251,2.155314,1.937745,1.998108,0.443302,-2.613548,-0.269971
146405575,2.111277,2.324027,2.019279,2.005364,0.768754,-3.377961,-0.479890
146417659,2.123843,2.361405,2.053157,2.020498,1.022248,-3.218707,-0.493311
146431887,2.108158,2.367893,2.053776,2.008392,1.024015,-3.189968,-0.485389
146445182,2.070092,2.345775,2.010496,1.970255,0.681282,-3.373118,-0.447572
146479236,2.066970,2.345068,2.010496,1.970850,0.716179,-3.374457,-0.446404
146495821,2.105614,2.367839,2.055016,2.012316,1.099539,-3.198539,-0.485339
146568615,2.164341,2.445761,2.096971,2.026907,1.277511,-2.497879,-0.440101
146589489,2.185326,2.456337,2.120864,2.055016,1.590478,-2.217913,-0.420091
146601678,2.217385,2.471850,2.159028,2.089753,1.873748,-1.901871,-0.393025
146615636,2.263854,2.494216,2.210584,2.132183,2.094144,-1.739910,-0.382839
146629114,2.191932,2.474570,2.180708,2.083457,2.129242,-1.711305,-0.339686
146642509,2.148816,2.449561,2.195083,2.079055,2.583116,-1.600110,-0.341380
146731655,2.204588,2.427008,2.389474,2.208584,3.181046,0.146461,-0.377826
146746571,2.200595,2.424160,2.386593,2.203257,3.197141,0.200986,-0.373768
146779946,2.152714,2.361416,2.366411,2.175303,3.224683,0.152956,-0.367834
146795255,2.086604,2.267869,2.362118,2.146220,2.107679,-0.788685,-0.310373
146810754,2.087233,2.236405,2.379369,2.163032,1.688163,-0.812728,-0.307330
146825029,2.057216,2.197271,2.366411,2.141005,1.074587,-1.357898,-0.234753
146838255,2.032123,2.164995,2.353576,2.131539,0.791138,-1.760995,-0.157460
146923317,2.061357,2.121504,2.401955,2.191932,0.691908,-0.793894,-0.221668
146937359,2.013186,2.067595,2.382995,2.162938,1.047233,-1.554588,-0.075909
146953673,2.016231,2.071699,2.385227,2.166958,1.001421,-1.515889,-0.089004
146967729,2.045364,2.101409,2.399727,2.185986,0.744698,-1.016772,-0.178209
146982442,2.057216,2.122784,2.403406,2.185986,0.693071,-0.905359,-0.211782
147014985,2.070092,2.128964,2.458055,2.223423,0.976648,-0.133748,-0.264334
147030420,2.061980,2.099507,2.504374,2.267185,1.542731,0.420841,-0.289477
147044751,2.061980,2.089753,2.527746,2.292149,1.857676,0.661295,-0.308848
147057814,2.017450,2.038883,2.515751,2.267271,1.965824,-0.094230,-0.303420
147140194,1.954494,1.891635,2.453372,2.312829,0.970114,-0.753218,-0.241816
147152834,1.966562,1.884073,2.465493,2.350732,0.685006,-0.895548,-0.264769
147168983,1.971446,1.877385,2.457937,2.391001,0.368442,-0.978071,-0.260502
147182293,1.988603,1.891064,2.434518,2.396831,0.326140,-0.948483,-0.273260
147265565,1.959221,1.848807,2.414439,2.401230,-0.064549,-0.823456,-0.238720
147281193,1.968470,1.860921,2.418157,2.404857,0.010520,-0.889298,-0.247528
147314249,1.964190,1.850834,2.336599,2.351443,0.144479,-0.564099,-0.242810
147329480,1.966685,1.851039,2.267869,2.328210,0.567847,-0.390994,-0.218688
147346312,1.978597,1.856995,2.173990,2.276545,1.414411,-0.251258,-0.166450
147427768,2.011709,1.864252,2.055975,2.208584,1.445871,-0.014340,-0.181174
147487268,2.013186,1.893259,2.010496,2.119584,0.976001,-0.439288,-0.162505
147501478,2.014404,1.901281,2.006575,2.105853,0.868713,-0.519326,-0.163123
147580223,2.013186,2.022938,1.987403,2.026295,0.827586,-1.609583,-0.278224
147603972,2.010144,2.060943,1.992207,2.015622,0.974662,-1.786447,-0.298093
147618644,2.011709,2.074828,1.992207,2.011709,1.001618,-1.849562,-0.306105
147633434,2.015013,2.077798,1.994010,2.014404,1.007611,-1.855887,-0.306883
147742430,2.115109,2.312130,2.082828,2.050060,1.294626,-3.089221,-0.501260
147755431,2.077959,2.304593,2.056876,2.016841,1.177838,-3.063623,-0.483409
147773100,2.087863,2.335188,2.065722,2.019279,1.262597,-3.092484,-0.487931
147787926,2.100775,2.363556,2.073576,2.022328,1.333800,-3.058951,-0.485643
147801779,2.111277,2.374345,2.083457,2.026907,1.385977,-2.966225,-0.483102
147814979,2.123843,2.381524,2.096971,2.038268,1.498470,-2.848194,-0.479049
147910278,2.110066,2.511376,2.194613,2.020498,3.206852,-1.406757,-0.255277
147924350,2.111277,2.522782,2.225437,2.026907,3.634892,-1.105470,-0.207034
147940400,2.080941,2.523929,2.252258,2.019888,4.112043,-0.954239,-0.207297
147954152,2.077170,2.529074,2.283428,2.026907,4.428891,-0.732974,-0.181051
147985227,2.038268,2.532330,2.322597,2.011709,4.379858,-0.948182,-0.207262
148001002,2.027827,2.535388,2.347191,2.012316,4.337835,-1.039074,-0.210512
148016024,2.021108,2.535802,2.370043,2.015622,4.288989,-1.095032,-0.212976
148029602,2.032737,2.542705,2.391767,2.026907,4.390620,-0.935362,-0.207510
148043097,2.026907,2.542705,2.399727,2.026295,4.313901,-1.029696,-0.215275
148116898,1.982005,2.388153,2.566756,2.079055,1.869966,-2.234179,-0.354539
148138715,1.980806,2.368610,2.581500,2.089123,1.718829,-2.363526,-0.374956
148152722,1.943021,2.347191,2.575269,2.060943,1.622680,-2.756261,-0.362603
148239399,1.898414,2.132183,2.561099,2.108794,1.912736,-2.023511,-0.275350
148253463,1.901281,2.106250,2.558781,2.132183,2.120643,-1.466031,-0.278034
148352245,1.924102,1.930503,2.461772,2.203922,1.891396,-0.091730,-0.195983
148368670,1.929921,1.910033,2.426358,2.217385,1.724666,-0.353516,-0.182927
148387222,1.935954,1.892687,2.385154,2.222080,1.575579,-0.524340,-0.163261
148402022,1.937122,1.884642,2.330253,2.203922,1.622755,-0.696977,-0.106168
148415772,1.938917,1.881230,2.270607,2.185326,1.715193,-0.911594,-0.044905
148495871,1.991005,1.869894,2.049441,2.162378,1.448945,-0.527345,-0.128126
148509471,2.016841,1.877385,2.013186,2.141651,1.060894,-0.169236,-0.166161
148523838,2.043514,1.884642,1.992207,2.132183,0.757752,0.217443,-0.190997
148536914,2.051298,1.882367,1.985602,2.132183,0.664830,0.389150,-0.195071
148551996,2.051918,1.882936,1.985602,2.132183,0.662654,0.392439,-0.195691
148591845,2.071342,1.910610,1.965376,2.090383,0.191521,0.136122,-0.177145
148606745,2.107522,1.953903,1.944781,2.061357,-0.142477,-0.336245,-0.140118
148622044,2.140359,2.004759,1.935954,2.038268,-0.148026,-1.009433,-0.102537
148637333,2.157073,2.042282,1.929921,2.026907,-0.039178,-1.506772,-0.116464
148650594,2.161634,2.057837,1.929339,2.026295,0.021359,-1.725903,-0.138747
148663744,2.166304,2.083457,1.929921,2.018669,0.088569,-1.979207,-0.163955
148676913,2.181367,2.125766,1.930503,2.010496,0.136060,-2.334253,-0.203644
148690333,2.206586,2.190610,1.927592,1.998493,0.226641,-2.644863,-0.250520
148704912,2.243848,2.284738,1.919467,1.982433,0.269215,-2.613802,-0.294710
148720640,2.281362,2.378651,1.919467,1.964783,-0.355410,-2.384055,-0.355609
148741843,2.302556,2.468472,1.934787,1.955675,-1.116346,-2.306682,-0.498410
148755168,2.291456,2.496158,1.950875,1.949478,-1.342694,-2.239865,-0.552404
148768515,2.284117,2.512535,1.975616,1.959221,-0.991912,-2.097389,-0.581270
148782417,2.279985,2.537892,1.987403,1.949110,-1.291525,-2.131489,-0.585919
148796614,2.308072,2.567245,2.025073,1.963598,-0.450046,-1.595077,-0.579992
148810017,2.335893,2.591135,2.050679,1.964190,-0.075361,-1.352244,-0.562761
148825792,2.343653,2.609540,2.053776,1.931870,-0.735882,-1.571736,-0.584277
148838267,2.357845,2.622786,2.078426,1.924683,-0.382504,-1.464367,-0.567124
148850617,2.364270,2.631825,2.106250,1.924102,0.090675,-1.330208,-0.528912
148863641,2.357133,2.636921,2.137340,1.924102,0.364791,-1.306664,-0.477522
